Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-1566977,"Fibronectin matrix formation",1,7,1,40,4.813643240269564E-4,0.22414953875800736,0.5799309842875013,3,3,2.219591595146493E-4,9606,Homo sapiens,"P05556","P05556",P05556,P02751,"R-HSA-202723;R-HSA-2327746;R-HSA-2545196"
R-HSA-1296072,"Voltage gated Potassium channels",1,44,0,0,0.0030257186081694403,0.22414953875800736,0.5799309842875013,1,1,7.39863865048831E-5,9606,Homo sapiens,"P22460","",,,"R-HSA-1296127"
R-HSA-5626467,"RHO GTPases activate IQGAPs",1,36,0,9,0.002475587952138633,0.22414953875800736,0.5799309842875013,2,5,3.699319325244155E-4,9606,Homo sapiens,"P0DP23","",,,"R-HSA-5626549;R-HSA-5626507"
R-HSA-380287,"Centrosome maturation",2,83,2,76,0.005707605556319626,0.2269824193845007,0.5799309842875013,6,6,4.439183190292986E-4,9606,Homo sapiens,"P17612;P62258","P17612;P62258",P49768;P05067,P53350,"R-HSA-380311;R-HSA-380455;R-HSA-380294;R-HSA-380272;R-HSA-380303;R-HSA-380283"
R-HSA-8979227,"Triglyceride metabolism",2,66,1,92,0.0045385779122541605,0.2269824193845007,0.5799309842875013,2,24,0.0017756732761171944,9606,Homo sapiens,"P17612;Q03135","P17612;Q03135",P05067,Q03135,"R-HSA-163418;R-HSA-163416"
R-HSA-9032759,"NTRK2 activates RAC1",1,7,0,40,4.813643240269564E-4,0.2286164467310745,0.5799309842875013,2,2,1.479727730097662E-4,9606,Homo sapiens,"P06241","",,,"R-HSA-9032761;R-HSA-9032798"
R-HSA-165158,"Activation of AKT2",0,7,1,38,4.813643240269564E-4,0.2286164467310745,0.5799309842875013,2,3,2.219591595146493E-4,9606,Homo sapiens,"","",P05556,16618,"R-HSA-109701;R-HSA-109700"
R-HSA-399954,"Sema3A PAK dependent Axon repulsion",1,19,0,30,0.0013065603080731675,0.2286164467310745,0.5799309842875013,3,6,4.439183190292986E-4,9606,Homo sapiens,"P06241","",,,"R-HSA-399939;R-HSA-399952;R-HSA-399930"
R-HSA-1300645,"Acrosome Reaction and Sperm:Oocyte Membrane Binding",0,6,1,39,4.125979920231055E-4,0.2286164467310745,0.5799309842875013,1,3,2.219591595146493E-4,9606,Homo sapiens,"","",P05556,P21926,"R-HSA-1297275"
R-HSA-3000471,"Scavenging by Class B Receptors",0,21,1,24,0.0014440929720808693,0.2286164467310745,0.5799309842875013,1,5,3.699319325244155E-4,9606,Homo sapiens,"","",P05067,P16671,"R-HSA-2187264"
R-HSA-1474244,"Extracellular matrix organization",8,329,17,736,0.022624123229266952,0.23091555210697523,0.5799309842875013,94,319,0.02360165729505771,9606,Homo sapiens,"P05556;P14780;P17252;P12814;P11532;P05067;Q9ULB1;P49768","P05556;P14780;P17252;P12814;P11532;P05067;Q9ULB1;P49768",P30626;P17612;Q13425;Q13424;Q13936;Q8NBP7;P35609;P21796;P14780;P05067;P49768;P12814;P20073;P05067;O00555;P05556;P17252,P01033;P09958;P02751;P12814;P01137;Q8N2S1;P08253;18348;P19320;P12830;P35613;P11532;P14780;P51884,"R-HSA-114563;R-HSA-2473511;R-HSA-8940554;R-HSA-216064;R-HSA-1564179;R-HSA-3791295;R-HSA-216068;R-HSA-2471842;R-HSA-1604368;R-HSA-2545196;R-HSA-4084912;R-HSA-1602454;R-HSA-4084910;R-HSA-1604360;R-HSA-204434;R-HSA-1564164;R-HSA-2327733;R-HSA-2534206;R-HSA-4084903;R-HSA-2395320;R-HSA-349593;R-HSA-198941;R-HSA-1604359;R-HSA-2731147;R-HSA-4088220;R-HSA-2731149;R-HSA-1454781;R-HSA-2327695;R-HSA-1602484;R-HSA-2426263;R-HSA-4085133;R-HSA-1474213;R-HSA-1454757;R-HSA-2426259;R-HSA-2168982;R-HSA-2485148;R-HSA-1602466;R-HSA-2470555;R-HSA-349626;R-HSA-2395364;R-HSA-2484965;R-HSA-2426471;R-HSA-2750187;R-HSA-1564117;R-HSA-4539779;R-HSA-2328037;R-HSA-1564112;R-HSA-2467436;R-HSA-265422;R-HSA-4086132;R-HSA-1604690;R-HSA-3827958;R-HSA-1592278;R-HSA-265428;R-HSA-265429;R-HSA-202706;R-HSA-1454791;R-HSA-265424;R-HSA-2752125;R-HSA-2172405;R-HSA-1592270;R-HSA-2396029;R-HSA-375135;R-HSA-2752118;R-HSA-8943959;R-HSA-202723;R-HSA-2327746;R-HSA-2328129;R-HSA-4085083;R-HSA-1566962;R-HSA-1604350;R-HSA-3907292;R-HSA-216043;R-HSA-1604722;R-HSA-2731074;R-HSA-216040;R-HSA-2681667;R-HSA-1592436;R-HSA-2129357;R-HSA-216045;R-HSA-9679740;R-HSA-2731078;R-HSA-216051;R-HSA-216050;R-HSA-4086223;R-HSA-2213200;R-HSA-216048;R-HSA-2467665;R-HSA-4088264;R-HSA-4086216;R-HSA-216058;R-HSA-1564142;R-HSA-2168923;R-HSA-216061"
R-HSA-416700,"Other semaphorin interactions",1,19,0,33,0.0013065603080731675,0.23305784134318708,0.5799309842875013,1,9,6.658774785439479E-4,9606,Homo sapiens,"P05556","",,,"R-HSA-434990"
R-HSA-194138,"Signaling by VEGF",7,137,13,774,0.009420987484527575,0.2333159376192484,0.5799309842875013,35,86,0.006362829239419947,9606,Homo sapiens,"P17612;Q14643;P0DP23;P17252;P06241;Q14571;Q03135","P17612;Q14643;P0DP23;P17252;P06241;Q14571;Q03135",P17612;P11021;P06241;Q14643;Q02790;P06241;P05556;P12814;Q03135;P20073;P05067;P05556;P78417,P07900;P49023;18348;P20936;P56945;Q14289;P31749;P19174;Q03135;16618;P06241;P04792,"R-HSA-167686;R-HSA-5218824;R-HSA-2029465;R-HSA-5218823;R-HSA-5218821;R-HSA-434637;R-HSA-202127;R-HSA-5218819;R-HSA-5218847;R-HSA-74448;R-HSA-169683;R-HSA-202129;R-HSA-169680;R-HSA-5218845;R-HSA-5218838;R-HSA-202137;R-HSA-5218836;R-HSA-5218643;R-HSA-5218832;R-HSA-202144;R-HSA-5218855;R-HSA-5218854;R-HSA-4420202;R-HSA-5218916;R-HSA-1497784;R-HSA-2316429;R-HSA-5218814;R-HSA-5218813;R-HSA-5218812;R-HSA-5218806;R-HSA-5218805;R-HSA-4420153;R-HSA-5218804;R-HSA-202111;R-HSA-202110"
R-HSA-157858,"Gap junction trafficking and regulation",2,56,2,112,0.003850914592215651,0.2333333146081744,0.5799309842875013,18,24,0.0017756732761171944,9606,Homo sapiens,"P17302;P35212","P17302;P35212",P05067;P17302,Q07157;P98082,"R-HSA-191072;R-HSA-191654;R-HSA-190662;R-HSA-190790;R-HSA-190788;R-HSA-191656;R-HSA-190541;R-HSA-190829;R-HSA-196017;R-HSA-190519;R-HSA-191636;R-HSA-196026;R-HSA-190682;R-HSA-190520;R-HSA-191737;R-HSA-190686;R-HSA-190782;R-HSA-190877"
R-HSA-442755,"Activation of NMDA receptors and postsynaptic events",5,113,9,473,0.007770595516435153,0.23600210306879998,0.5799309842875013,60,71,0.0052530334418467006,9606,Homo sapiens,"P17612;Q14957;P0DP23;P35609;Q13557","P17612;Q14957;P0DP23;P35609;Q13557",Q14957;Q13586;P0DP23;P0DP25;P0DP24;P12814;O00141;P05067;P06241;O00499;O60610,P78352;P49593;P12931;Q05586;P07196;P10636-8;Q14957;P16220,"R-HSA-9618834;R-HSA-9609746;R-HSA-9609747;R-HSA-9609744;R-HSA-9619478;R-HSA-9611030;R-HSA-9619355;R-HSA-9610270;R-HSA-442760;R-HSA-9610653;R-HSA-9609728;R-HSA-438037;R-HSA-9609738;R-HSA-9619467;R-HSA-9609739;R-HSA-9609737;R-HSA-9619214;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9619376;R-HSA-432164;R-HSA-432162;R-HSA-8951727;R-HSA-9619125;R-HSA-9612085;R-HSA-111913;R-HSA-111912;R-HSA-9619515;R-HSA-111915;R-HSA-432172;R-HSA-9618750;R-HSA-111919;R-HSA-445367;R-HSA-111925;R-HSA-111924;R-HSA-9619367;R-HSA-9617326;R-HSA-9617583;R-HSA-9618863;R-HSA-9610195;R-HSA-9619542;R-HSA-9610327;R-HSA-9619783;R-HSA-442715;R-HSA-442724;R-HSA-442725;R-HSA-9618811;R-HSA-442732;R-HSA-9619449;R-HSA-9610750;R-HSA-9617535;R-HSA-9610879;R-HSA-9618785;R-HSA-9619430;R-HSA-9611368;R-HSA-442749;R-HSA-9614185;R-HSA-444792"
R-HSA-212718,"EGFR interacts with phospholipase C-gamma",0,11,1,37,7.564296520423601E-4,0.23747386714887897,0.5799309842875013,2,3,2.219591595146493E-4,9606,Homo sapiens,"","",Q03135,P19174,"R-HSA-212706;R-HSA-212713"
R-HSA-9609736,"Assembly and cell surface presentation of NMDA receptors",3,49,3,249,0.003369550268188695,0.23761029600481753,0.5799309842875013,19,23,0.0017016868896123113,9606,Homo sapiens,"Q14957;P35609;Q13557","Q14957;P35609;Q13557",Q14957;Q13586;P05067,P78352;Q05586;P07196;Q14957,"R-HSA-9609746;R-HSA-9609747;R-HSA-9610195;R-HSA-9609744;R-HSA-9611030;R-HSA-9610327;R-HSA-9610750;R-HSA-9610270;R-HSA-9610879;R-HSA-9610653;R-HSA-9609728;R-HSA-9609738;R-HSA-9609739;R-HSA-9611368;R-HSA-9609737;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741"
R-HSA-9619229,"Activation of RAC1 downstream of NMDARs",1,12,0,38,8.25195984046211E-4,0.24186466789031524,0.5799309842875013,5,6,4.439183190292986E-4,9606,Homo sapiens,"P0DP23","",,,"R-HSA-9619376;R-HSA-9619783;R-HSA-9619367;R-HSA-9619355;R-HSA-9619214"
R-HSA-3371568,"Attenuation phase",1,47,0,1,0.003232017604180993,0.24186466789031524,0.5799309842875013,1,5,3.699319325244155E-4,9606,Homo sapiens,"Q02790","",,,"R-HSA-5324617"
R-HSA-9662834,"CD163 mediating an anti-inflammatory response",0,14,2,36,9.627286480539128E-4,0.24623038650178763,0.5799309842875013,3,9,6.658774785439479E-4,9606,Homo sapiens,"","",P05067;P05556,P09958;P78536,"R-HSA-9662786;R-HSA-9662773;R-HSA-9662747"
R-HSA-198693,"AKT phosphorylates targets in the nucleus",0,12,1,38,8.25195984046211E-4,0.24623038650178763,0.5799309842875013,1,4,2.959455460195324E-4,9606,Homo sapiens,"","",O00141,P16220,"R-HSA-199298"
R-HSA-75035,"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",1,15,0,42,0.0010314949800577637,0.24623038650178763,0.5799309842875013,1,5,3.699319325244155E-4,9606,Homo sapiens,"P62258","",,,"R-HSA-75016"
R-HSA-1839126,"FGFR2 mutant receptor activation",0,43,1,9,0.002956952276165589,0.24623038650178763,0.5799309842875013,3,18,0.0013317549570878958,9606,Homo sapiens,"","",P05067,28815,"R-HSA-2033474;R-HSA-2033472;R-HSA-8853320"
R-HSA-1168372,"Downstream signaling events of B Cell Receptor (BCR)",2,91,1,83,0.006257736212350433,0.2481910847171067,0.5799309842875013,3,15,0.0011097957975732466,9606,Homo sapiens,"P0DP23;P62942","P0DP23;P62942",P05067,P62942,"R-HSA-2025882;R-HSA-2025890;R-HSA-9690461"
R-HSA-901042,"Calnexin/calreticulin cycle",0,41,2,10,0.0028194196121578874,0.250571165114187,0.5799309842875013,2,13,9.618230245634804E-4,9606,Homo sapiens,"","",Q13586;P05067,P30101,"R-HSA-548890;R-HSA-901047"
R-HSA-9012999,"RHO GTPase cycle",5,460,3,144,0.03163251272177142,0.25312270599133624,0.5799309842875013,21,91,0.006732761171944362,9606,Homo sapiens,"P17302;P05556;O60610;P12814;Q03135","P17302;P05556;O60610;P12814;Q03135",P12814;P06241;P17252,O94844;P12931,"R-HSA-9013024;R-HSA-9018787;R-HSA-9017507;R-HSA-9013157;R-HSA-9690493;R-HSA-9013158;R-HSA-9018758;R-HSA-9013145;R-HSA-9018808;R-HSA-9018746;R-HSA-9726848;R-HSA-9693125;R-HSA-9013009;R-HSA-9014449;R-HSA-9696266;R-HSA-9696271;R-HSA-9693198;R-HSA-9013110;R-HSA-9014294;R-HSA-9018774;R-HSA-9696268"
R-HSA-9619483,"Activation of AMPK downstream of NMDARs",1,34,3,19,0.002338055288130931,0.25488714505954513,0.5799309842875013,3,3,2.219591595146493E-4,9606,Homo sapiens,"P0DP23","P0DP23",P0DP23;P0DP25;P0DP24;P06241;O00499,P10636-8,"R-HSA-9619478;R-HSA-9619542;R-HSA-9619515"
R-HSA-110320,"Translesion Synthesis by POLH",0,24,2,30,0.001650391968092422,0.25917846687545654,0.5799309842875013,3,8,5.918910920390648E-4,9606,Homo sapiens,"","",Q13557;P0DP23;P0DP25;P0DP24,Q96PM5,"R-HSA-5655142;R-HSA-5655170;R-HSA-110316"
R-HSA-174048,"APC/C:Cdc20 mediated degradation of Cyclin B",0,24,2,29,0.001650391968092422,0.25917846687545654,0.5799309842875013,1,3,2.219591595146493E-4,9606,Homo sapiens,"","",P05067;P21796,P06493,"R-HSA-174157"
R-HSA-74749,"Signal attenuation",0,13,1,42,8.939623160500619E-4,0.25917846687545654,0.5799309842875013,2,7,5.179047055341817E-4,9606,Homo sapiens,"","",P05067,P29353,"R-HSA-5686074;R-HSA-74748"
R-HSA-9683686,"Maturation of spike protein",0,13,2,40,8.939623160500619E-4,0.25917846687545654,0.5799309842875013,1,8,5.918910920390648E-4,9606,Homo sapiens,"","",P16615;P21796,P27824,"R-HSA-9683772"
R-HSA-5250989,"Toxicity of botulinum toxin type G (botG)",0,7,1,46,4.813643240269564E-4,0.26344527030947695,0.5799309842875013,1,5,3.699319325244155E-4,9606,Homo sapiens,"","",Q16623,P63027,"R-HSA-5250962"
R-HSA-8943723,"Regulation of PTEN mRNA translation",0,29,1,25,0.0019942236281116766,0.26344527030947695,0.5799309842875013,1,24,0.0017756732761171944,9606,Homo sapiens,"","",Q03135,P60484,"R-HSA-8944497"
R-HSA-73863,"RNA Polymerase I Transcription Termination",0,33,2,22,0.0022692889561270802,0.2676876943235902,0.5799309842875013,2,4,2.959455460195324E-4,9606,Homo sapiens,"","",Q03135;P56539,Q6NZI2,"R-HSA-74993;R-HSA-74992"
R-HSA-75205,"Dissolution of Fibrin Clot",0,14,1,40,9.627286480539128E-4,0.2676876943235902,0.5799309842875013,1,19,0.0014057413435927789,9606,Homo sapiens,"","",P05067,P00749,"R-HSA-158959"
R-HSA-422475,"Axon guidance",15,584,19,1723,0.04015953789024893,0.2679989439026872,0.5799309842875013,105,298,0.022047943178455164,9606,Homo sapiens,"Q14524;P05556;O43497;Q01484;Q13936;Q08289;P17612;P14780;Q02641;P17252;P06241;Q9UBN4;P49810;P49768","Q14524;P05556;O43497;Q01484;Q13936;Q08289;P17612;P14780;Q02641;P17252;P06241;Q9UBN4;P49810;P06241-1;P49768",P17612;P0DP23;P0DP25;P0DP24;P11021;P06241;Q9UKS6;P16615;Q02790;Q99828;P05067;P05067;P05067;P12814;Q03135;O00141;P20073;P05067;P05067;P05556;P17252,P06241;Q07889;Q96S59;Q9Y490;P17677;P20936;Q02246;Q06124;P16220;P19174;P00533;P28482;Q9HD67;P24588;P29353;O14672;P04156;P49841;Q04759;18348;Q9NZU0;P11940;P12931;P52735;O43639;O00401;P11142,"R-HSA-593672;R-HSA-525833;R-HSA-3928633;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928631;R-HSA-3928628;R-HSA-593690;R-HSA-3928623;R-HSA-3928615;R-HSA-3928614;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-418850;R-HSA-3928607;R-HSA-3928604;R-HSA-622382;R-HSA-434990;R-HSA-3928594;R-HSA-418863;R-HSA-392751;R-HSA-418858;R-HSA-418859;R-HSA-418856;R-HSA-418868;R-HSA-3928584;R-HSA-418865;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-418874;R-HSA-399930;R-HSA-3928583;R-HSA-399931;R-HSA-399928;R-HSA-3928580;R-HSA-622390;R-HSA-399942;R-HSA-8855237;R-HSA-399941;R-HSA-399939;R-HSA-399936;R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399944;R-HSA-9010648;R-HSA-8855508;R-HSA-399952;R-HSA-9010641;R-HSA-8933328;R-HSA-9010643;R-HSA-8985812;R-HSA-9010647;R-HSA-9010646;R-HSA-3928657;R-HSA-3928656;R-HSA-8853737;R-HSA-3928660;R-HSA-392053;R-HSA-3928651;R-HSA-9010681;R-HSA-375157;R-HSA-392054;R-HSA-3928648;R-HSA-392051;R-HSA-375154;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-8853755;R-HSA-3928645;R-HSA-374662;R-HSA-445069;R-HSA-374664;R-HSA-445067;R-HSA-445064;R-HSA-445079;R-HSA-445076;R-HSA-374673;R-HSA-374672;R-HSA-374675;R-HSA-445087;R-HSA-374686;R-HSA-445085;R-HSA-9011241;R-HSA-4093336;R-HSA-445088;R-HSA-374701;R-HSA-4093330;R-HSA-4093327;R-HSA-391868;R-HSA-391871;R-HSA-391865;R-HSA-391867;R-HSA-9010231;R-HSA-391866;R-HSA-373716;R-HSA-9014610;R-HSA-8855915;R-HSA-373739;R-HSA-8854908;R-HSA-199935"
R-HSA-9013507,"NOTCH3 Activation and Transmission of Signal to the Nucleus",2,28,0,152,0.0019254572961078255,0.27372289626935753,0.5799309842875013,2,15,0.0011097957975732466,9606,Homo sapiens,"P49810;P49768","",,,"R-HSA-9017817;R-HSA-9013361"
R-HSA-1912420,"Pre-NOTCH Processing in Golgi",1,23,2,33,0.001581625636088571,0.27609995603824056,0.5799309842875013,5,8,5.918910920390648E-4,9606,Homo sapiens,"P16615","P16615",P05067;P41180,P09958;Q15363,"R-HSA-1912382;R-HSA-1912379;R-HSA-1912372;R-HSA-1912374;R-HSA-1912369"
R-HSA-9013418,"RHOBTB2 GTPase cycle",1,24,0,32,0.001650391968092422,0.27609995603824056,0.5799309842875013,1,2,1.479727730097662E-4,9606,Homo sapiens,"P12814","",,,"R-HSA-9018787"
R-HSA-174430,"Telomere C-strand synthesis initiation",0,22,1,38,0.0015128593040847202,0.27609995603824056,0.5799309842875013,1,4,2.959455460195324E-4,9606,Homo sapiens,"","",Q14957,Q86WV5,"R-HSA-9668831"
R-HSA-6788467,"IL-6-type cytokine receptor ligand interactions",0,17,1,45,0.0011690276440654655,0.27609995603824056,0.5799309842875013,1,14,0.0010358094110683633,9606,Homo sapiens,"","",P05067,P26441,"R-HSA-5696491"
R-HSA-9013957,"TLR3-mediated TICAM1-dependent programmed cell death",0,6,1,55,4.125979920231055E-4,0.280270067774001,0.5799309842875013,1,3,2.219591595146493E-4,9606,Homo sapiens,"","",P05067,Q14790,"R-HSA-9013889"
R-HSA-198753,"ERK/MAPK targets",0,26,1,32,0.0017879246321001237,0.280270067774001,0.5799309842875013,1,7,5.179047055341817E-4,9606,Homo sapiens,"","",P05067,P19419,"R-HSA-198731"
R-HSA-9032500,"Activated NTRK2 signals through FYN",1,11,0,50,7.564296520423601E-4,0.2844163481689609,0.5799309842875013,7,7,5.179047055341817E-4,9606,Homo sapiens,"P06241","",,,"R-HSA-9032601;R-HSA-9032761;R-HSA-9032798;R-HSA-9037040;R-HSA-9032532;R-HSA-9032582;R-HSA-9032502"
R-HSA-1660502,"PIPs transport between early and late endosome membranes",0,1,1,58,6.876633200385091E-5,0.28853893232231065,0.5799309842875013,1,1,7.39863865048831E-5,9606,Homo sapiens,"","",P12814,16851,"R-HSA-1676041"
R-HSA-1660537,"PIPs transport between early endosome and Golgi membranes",0,1,1,58,6.876633200385091E-5,0.28853893232231065,0.5799309842875013,1,1,7.39863865048831E-5,9606,Homo sapiens,"","",P12814,16851,"R-HSA-1675896"
R-HSA-1660508,"PIPs transport between late endosome and Golgi membranes",0,1,1,58,6.876633200385091E-5,0.28853893232231065,0.5799309842875013,1,1,7.39863865048831E-5,9606,Homo sapiens,"","",P12814,16851,"R-HSA-1676161"
R-HSA-390450,"Folding of actin by CCT/TriC",0,13,1,47,8.939623160500619E-4,0.28853893232231065,0.5799309842875013,1,2,1.479727730097662E-4,9606,Homo sapiens,"","",P05067,P60709,"R-HSA-390453"
R-HSA-5357786,"TNFR1-induced proapoptotic signaling",0,14,1,51,9.627286480539128E-4,0.28853893232231065,0.5799309842875013,1,3,2.219591595146493E-4,9606,Homo sapiens,"","",P05067,Q14790,"R-HSA-75240"
R-HSA-917729,"Endosomal Sorting Complex Required For Transport (ESCRT)",0,35,1,28,0.002406821620134782,0.28853893232231065,0.5799309842875013,1,4,2.959455460195324E-4,9606,Homo sapiens,"","",Q14957,Q8WUX9,"R-HSA-917693"
R-HSA-8982491,"Glycogen metabolism",1,43,0,20,0.002956952276165589,0.28853893232231065,0.5799309842875013,3,39,0.002885469073690441,9606,Homo sapiens,"P0DP23","",,,"R-HSA-71541;R-HSA-71588;R-HSA-453337"
R-HSA-5620912,"Anchoring of the basal body to the plasma membrane",2,99,3,103,0.00680786686838124,0.28861042757143585,0.5799309842875013,9,9,6.658774785439479E-4,9606,Homo sapiens,"P17612;P62258","P17612;P62258",P0DP23;P62258;P0DP25;P0DP24;P05067,Q96L34;Q96QF0;Q8IW35;O43303,"R-HSA-5626228;R-HSA-5626227;R-HSA-5638014;R-HSA-5626220;R-HSA-5626223;R-HSA-5626681;R-HSA-5617816;R-HSA-5626699;R-HSA-5638009"
R-HSA-5686938,"Regulation of TLR by endogenous ligand",0,36,1,25,0.002475587952138633,0.29263795457352926,0.5799309842875013,4,12,8.878366380585972E-4,9606,Homo sapiens,"","",P05067,P09429,"R-HSA-6804100;R-HSA-6804099;R-HSA-6805981;R-HSA-5432825"
R-HSA-8935964,"RUNX1 regulates expression of components of tight junctions",0,8,1,52,5.501306560308073E-4,0.29263795457352926,0.5799309842875013,1,6,4.439183190292986E-4,9606,Homo sapiens,"","",P17302,Q07157,"R-HSA-8935972"
R-HSA-9022707,"MECP2 regulates transcription factors",0,10,1,52,6.876633200385092E-4,0.29263795457352926,0.5799309842875013,1,8,5.918910920390648E-4,9606,Homo sapiens,"","",O00141,P16220,"R-HSA-9021847"
R-HSA-8980692,"RHOA GTPase cycle",2,154,0,35,0.01059001512859304,0.2928589725595008,0.5799309842875013,1,6,4.439183190292986E-4,9606,Homo sapiens,"O60610;Q03135","",,,"R-HSA-9013009"
R-HSA-114516,"Disinhibition of SNARE formation",1,10,1,51,6.876633200385092E-4,0.2967135485066804,0.5799309842875013,2,2,1.479727730097662E-4,9606,Homo sapiens,"P17252","P17252",Q16623,Q12846,"R-HSA-114683;R-HSA-114684"
R-HSA-5674499,"Negative feedback regulation of MAPK pathway",0,8,3,57,5.501306560308073E-4,0.2967135485066804,0.5799309842875013,2,3,2.219591595146493E-4,9606,Homo sapiens,"","",P62258;P11021;P05067,P04049;P15056,"R-HSA-5675198;R-HSA-5675194"
R-HSA-389513,"CTLA4 inhibitory signaling",1,25,1,36,0.0017191583000962728,0.2967135485066804,0.5799309842875013,2,5,3.699319325244155E-4,9606,Homo sapiens,"P06241","P06241",Q03135,Q06124,"R-HSA-388833;R-HSA-388829"
R-HSA-2562578,"TRIF-mediated programmed cell death",0,10,1,55,6.876633200385092E-4,0.2967135485066804,0.5799309842875013,1,3,2.219591595146493E-4,9606,Homo sapiens,"","",P05067,Q14790,"R-HSA-2562541"
R-HSA-162588,"Budding and maturation of HIV virion",0,38,1,27,0.002613120616146335,0.2967135485066804,0.5799309842875013,1,4,2.959455460195324E-4,9606,Homo sapiens,"","",P06241,Q8WUM4,"R-HSA-3159232"
R-HSA-8963888,"Chylomicron assembly",0,14,1,50,9.627286480539128E-4,0.2967135485066804,0.5799309842875013,1,5,3.699319325244155E-4,9606,Homo sapiens,"","",P05067,P02647,"R-HSA-174741"
R-HSA-176187,"Activation of ATR in response to replication stress",0,39,1,26,0.0026818869481501856,0.2967135485066804,0.5799309842875013,1,9,6.658774785439479E-4,9606,Homo sapiens,"","",P62258,P30304,"R-HSA-69604"
R-HSA-446353,"Cell-extracellular matrix interactions",2,19,6,178,0.0013065603080731675,0.297104360904485,0.5799309842875013,4,10,7.39863865048831E-4,9606,Homo sapiens,"P05556;P12814","P05556;P12814",P16615;Q13936;P35609;P05556;P12814;P05067,P05556;P49023;P12814;Q13418,"R-HSA-446391;R-HSA-430308;R-HSA-446322;R-HSA-432897"
R-HSA-6798695,"Neutrophil degranulation",4,480,0,0,0.03300783936184844,0.2998842661882031,0.5799309842875013,7,10,7.39863865048831E-4,9606,Homo sapiens,"P14780;O60610;O94759;P49768","",,,"R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745"
R-HSA-9686347,"Microbial modulation of RIPK1-mediated regulated necrosis",0,10,1,56,6.876633200385092E-4,0.30076584695459685,0.5799309842875013,1,9,6.658774785439479E-4,9606,Homo sapiens,"","",P05067,Q14790,"R-HSA-9687458"
R-HSA-140837,"Intrinsic Pathway of Fibrin Clot Formation",0,26,1,37,0.0017879246321001237,0.30076584695459685,0.5799309842875013,1,24,0.0017756732761171944,9606,Homo sapiens,"","",P05067,P00748,"R-HSA-158313"
R-HSA-1433559,"Regulation of KIT signaling",2,18,3,177,0.0012377939760693166,0.3034654728099231,0.5799309842875013,5,8,5.918910920390648E-4,9606,Homo sapiens,"P17252;P06241","P17252;P06241",P62258;Q03135;P06241,P29350;P22681,"R-HSA-1433508;R-HSA-205319;R-HSA-1433506;R-HSA-205306;R-HSA-205244"
R-HSA-399956,"CRMPs in Sema3A signaling",1,18,2,45,0.0012377939760693166,0.30479498200304056,0.5799309842875013,5,5,3.699319325244155E-4,9606,Homo sapiens,"P06241","P06241",P17612;P05067,P49841,"R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399931;R-HSA-399944"
R-HSA-9013422,"RHOBTB1 GTPase cycle",0,24,1,39,0.001650391968092422,0.30479498200304056,0.5799309842875013,1,2,1.479727730097662E-4,9606,Homo sapiens,"","",P17252,O94844,"R-HSA-9018774"
R-HSA-1566948,"Elastic fibre formation",1,46,2,22,0.003163251272177142,0.30479498200304056,0.5799309842875013,5,17,0.0012577685705830127,9606,Homo sapiens,"P05556","P05556",P05067;O00555,P09958;Q8N2S1,"R-HSA-2395364;R-HSA-2328037;R-HSA-2396029;R-HSA-2395320;R-HSA-2129357"
R-HSA-351200,"Interconversion of polyamines",0,16,1,48,0.0011002613120616146,0.30479498200304056,0.5799309842875013,2,7,5.179047055341817E-4,9606,Homo sapiens,"","",P05067,P21673,"R-HSA-351207;R-HSA-351208"
R-HSA-399955,"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",1,19,1,47,0.0013065603080731675,0.3088010849949293,0.5799309842875013,7,8,5.918910920390648E-4,9606,Homo sapiens,"P06241","P06241",P05556,Q9Y490,"R-HSA-399942;R-HSA-399941;R-HSA-399936;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-399928"
R-HSA-1170546,"Prolactin receptor signaling",0,18,1,47,0.0012377939760693166,0.3088010849949293,0.5799309842875013,1,14,0.0010358094110683633,9606,Homo sapiens,"","",Q03135,Q06124,"R-HSA-1369114"
R-HSA-2046106,"alpha-linolenic acid (ALA) metabolism",0,45,1,20,0.003094484940173291,0.3088010849949293,0.5799309842875013,1,15,0.0011097957975732466,9606,Homo sapiens,"","",Q03135,P22307,"R-HSA-2066781"
